epsilon,neighbors,kernel_type,reconstruction_error,time
10,10,inverse_multiquadric,0.07360634909523317,7.793414115905762
10,10,linear,0.018726459933088933,7.7911741733551025
10,10,cubic,0.5763865946201481,7.758793830871582
10,10,thin_plate_spline,0.09727379187853562,7.760658025741577
10,10,power,4.3322356327048155,7.792846918106079
10,10,exponential,0.0760884706648803,34.71564602851868
10,10,polyharmonic_spline,0.09727379187853562,7.783856391906738
10,20,gaussian,0.07608984371253542,7.793507814407349
10,20,multiquadric,0.02012196603637497,7.798239231109619
10,20,inverse_multiquadric,0.07215053306324858,7.780747890472412
10,20,linear,0.02011539740591908,7.810229063034058
10,20,cubic,0.22231500765681173,7.806348085403442
10,20,thin_plate_spline,3.8258390134531455,7.79772686958313
10,20,power,120.46499743324682,7.802481651306152
10,20,exponential,0.07608847066488021,34.693230390548706
